tourid	city	province	year	pos	promotion	real	cumreal	prevreport	planFaced	planMade	planMadeNm	age	on_seat_yr	center	edu
1	130100	13	2006	1	0	13.4	13.4	0	10	12.05	1	60	5.083333	0	1
1	130200	13	2006	1	1	14.6	14.6	0	10	13.05	1	56	3.583333	0	1
1	130300	13	2006	1	0	12.6	12.6	0	10	12	1	55	3.583333	0	1
1	130400	13	2006	1	1	14.9	14.9	0	10	13	1	49	2.333333	0	1
1	130500	13	2006	1	0	13	13	0	10	13.05	1	55	3.583333	0	1
1	130600	13	2006	1	0	10.2	10.2	1	10	12.05	1	54	0	0	1
1	130700	13	2006	1	1	13.8	13.8	0	10	14	1	53	2.583333	0	1
1	130800	13	2006	1	0	18.1	18.1	0	10	13	1	57	5	0	1
1	130900	13	2006	1	0	15.2	15.2	0	10	14	1	52	1.5	0	1
1	131000	13	2006	1	0	15.2	15.2	0	10	14	1	52	1.25	0	1
1	131100	13	2006	1	0	7.5999999	7.6	1	10	2.9000001	0	50	0	0	1
2	130100	13	2007	1	0	13.199997	13.2	0	11	12.05	1	51	.8333333	0	1
2	130200	13	2007	1	0	15	15	0	11	13.05	1	44	.5833333	1	1
2	130300	13	2007	1	0	13.400002	13.4	0	11	12.05	1	53	.8333333	0	1
2	130400	13	2007	1	1	14.699997	14.7	0	11	13	1	48	.6666667	0	1
2	130500	13	2007	1	0	13	13	0	11	13.05	1	56	4.583333	0	1
2	130600	13	2007	1	0	11.699997	11.7	0	11	12.05	1	56	.8333333	0	1
2	130700	13	2007	1	0	12.199997	12.2	0	11	13	1	52	.5833333	0	1
2	130800	13	2007	1	0	16.400002	17.25	0	11	13	1	58	6	0	1
2	130900	13	2007	1	0	13.699997	14.45	0	11	13	1	53	2.5	0	1
2	131000	13	2007	1	1	15	15.1	0	11	14.05	1	53	2.25	0	1
2	131100	13	2007	1	0	3.5999985	5.599999	0	11	10	1	51	1	0	1
3	130100	13	2008	1	0	11	12.1	0	10	11.05	1	52	1.833333	0	1
3	130200	13	2008	1	0	13.099998	14.05	0	10	14.05	1	45	1.583333	1	1
3	130300	13	2008	1	0	12	12.7	0	10	12.05	1	54	1.833333	0	1
3	130400	13	2008	1	0	11.099998	11.1	0	10	13.05	1	55	.4166667	0	1
3	130500	13	2008	1	0	10.099998	12.03333	0	10	13.05	1	57	5.583333	0	1
3	130600	13	2008	1	0	11.699997	11.7	0	10	12.5	1	53	.4166667	0	1
3	130700	13	2008	1	0	11.900002	11.9	0	10	12	1	52	.4166667	0	1
3	130800	13	2008	1	0	13	13	0	10	13	1	53	.5	0	1
3	130900	13	2008	1	0	13	13.96667	0	10	13	1	54	3.5	0	1
3	131000	13	2008	1	0	11.800003	11.8	0	10	12	1	46	.5	0	1
3	131100	13	2008	1	1	9.0999985	6.766666	0	10	2.9000001	0	52	2	0	1
4	130100	13	2009	1	0	11.099998	11.1	0	9	10.05	1	54	.8333333	0	1
4	130200	13	2009	1	0	11.300003	13.13333	0	9	11.05	1	46	2.583333	1	1
4	130300	13	2009	1	0	9.5	11.63333	0	9	10.05	1	55	2.833333	0	1
4	130400	13	2009	1	0	11.199997	11.15	0	9	10.05	1	56	1.416667	0	1
4	130500	13	2009	1	0	10	10	0	9	10	1	52	.6666667	0	1
4	130600	13	2009	1	0	11	11.35	0	9	10.05	1	54	1.416667	0	1
4	130700	13	2009	1	0	10.099998	11	0	9	10	1	53	1.416667	0	1
4	130800	13	2009	1	0	11	11	0	9	11	1	50	.8333333	0	1
4	130900	13	2009	1	0	11.300003	13.3	0	9	11	1	55	4.5	0	1
4	131000	13	2009	1	0	10.800003	11.3	0	9	10.05	1	47	1.5	0	1
4	131100	13	2009	1	0	9.5999985	9.599998	0	9	9	1	53	.75	0	1
5	130100	13	2010	1	1	12.300003	11.7	0	9.0500002	11	1	55	1.833333	0	1
5	130200	13	2010	1	1	13.099998	13.125	0	9.0500002	10	1	47	3.583333	1	1
